tick,symbol,real_mid,real_spread,real_bidDepth,real_askDepth,engine_bestBid,engine_bestAsk
940230,ETH,2175.86,0.35,0,995.02,2377,2474
940230,ADA,1.2305,0.001,0,0,1,2
940240,BTC,55878.1,0.01,0,0,60422,60888
940240,ETH,2175.01,0.01,0,0,2377,2474
940240,ADA,1.22735,0.0013,0,66.49,1,2
940250,BTC,55853.7,0.01,0,1282.32,60422,60888
940250,ETH,2174.14,0.17,0,0,2377,2474
940250,ADA,1.2274,0.0008,0,0,1,2
940260,BTC,55847.1,13.16,0,0,60422,60888
940260,ETH,2172.72,0.01,0,0,2377,2474
940260,ADA,1.2274,0.0008,0,0,1,2
940270,BTC,55826.1,0.01,0,0,60422,60888
940270,ETH,2172.35,0.01,0,0,2377,2474
940270,ADA,1.22925,0.0019,0,0,1,2
940280,BTC,55813.3,0.01,0,0,60420,60888
940280,ETH,2170.05,0.56,0,0,2377,2474
940280,ADA,1.22685,0.0005,0,0,1,2
940290,BTC,55822.4,14.29,0,106.54,60420,60888
940290,ETH,2169.44,0.22,0,0,2377,2474
940290,ADA,1.22405,0.0011,0,0,1,2
940300,BTC,55760.7,0.01,0,0,60419,60888
940300,ETH,2168.74,0.15,0,0,2377,2474
940300,ADA,1.22525,0.0009,80.82,0,1,2
940310,BTC,55681,0.01,0,11697.7,60419,60888
940310,ETH,2168.36,0.25,0,0,2377,2474
940310,ADA,1.2216,0.0016,0,0,1,2
940320,BTC,55737.2,5.59,0,0,60419,60888
940320,ETH,2166.53,0.01,0,0,2377,2474
940320,ADA,1.2215,0.0018,1150.67,0,1,2
940330,BTC,55728.4,0.01,0,5.57,60419,60888
940330,ETH,2166.53,0.01,0,0,2377,2474
940330,ADA,1.2187,0.0004,0,0,1,2
940340,BTC,55724.6,0.01,0,0,60418,60888
940340,ETH,2166.05,0.37,0,0,2377,2474
940340,ADA,1.2208,0.0018,0,0,1,2
940350,BTC,55788.9,0.01,0,0,60418,60888
940350,ETH,2165.24,0.01,0,0,2377,2474
940350,ADA,1.2175,0.0018,0,0,1,2
940360,BTC,55802.3,15.69,0,0,60418,60888
940360,ETH,2165.47,0.13,0,0,2377,2474
940360,ADA,1.21815,0.0013,0,0,1,2
940370,BTC,55811.3,0.01,0,0,60418,60888
940370,ETH,2162.38,0.22,0,0,2377,2474
940370,ADA,1.2174,0.0018,0,0,1,2
940380,BTC,55865.3,1.93,0,0,60418,60888
940380,ETH,2160.38,0.41,0,0,2377,2474
940380,ADA,1.2157,0.0002,0,0,1,2
940390,BTC,55803.2,0.01,0,0,60418,60888
940390,ETH,2158.14,0.16,0,0,2377,2474
940390,ADA,1.2154,0.0018,0,0,1,2
940400,BTC,55796.1,6.8,0,0,60418,60888
940400,ETH,2161.45,0.01,0,0,2377,2474
940400,ADA,1.21635,0.0015,7164.1,0,1,2
940410,BTC,55745.6,5.23,0,0,60418,60888
940410,ETH,2161.28,0.51,0,0,2377,2474
940410,ADA,1.21705,0.0007,0,0,1,2
940420,BTC,55776.2,0.01,0,0,60418,60888
940420,ETH,2163.86,0.01,0,0,2377,2474
940420,ADA,1.21815,0.0013,0,0,1,2
940430,BTC,55664,0.01,0,0,60418,60888
940430,ETH,2164.68,0.11,0,0,2377,2474
940430,ADA,1.21975,0.0005,0,0,1,2
940440,BTC,55661.3,0.01,0,0,60416,60888
940440,ETH,2163.05,0.53,0,0,2377,2474
940440,ADA,1.2208,0.001,0,0,1,2
940450,BTC,55657.3,0.01,0,0,60416,60888
940450,ETH,2167.61,0.26,0,0,2377,2474
940450,ADA,1.2204,0.0002,0,0,1,2
940460,BTC,55635.6,0.01,0,0,60416,60888
940460,ETH,2162.03,0.23,0,0,2377,2474
940460,ADA,1.21835,0.0007,0,0,1,2
940470,BTC,55689.5,23.03,116.57,0,60415,60888
940470,ETH,2160.55,0.25,0,0,2377,2474
940470,ADA,1.21775,0.0009,0,0,1,2
940480,BTC,55692.6,0.01,0,0,60414,60888
940480,ETH,2159.36,0.29,0,0,2377,2474
940480,ADA,1.2176,0.001,0,0,1,2
940490,BTC,55610.3,0.01,0,0,60414,60888
940490,ETH,2159.61,0.01,0,0,2377,2474
940490,ADA,1.21685,0.0005,0,0,1,2
940500,BTC,55561.9,0.01,0,0,60414,60888
940500,ETH,2157.02,0.01,0,0,2377,2474
940500,ADA,1.21855,0.0015,0,0,1,2
940510,BTC,55605.1,14.67,28173.5,0,60413,60888
940510,ETH,2158.52,0.01,0,0,2377,2474
940510,ADA,1.2177,0.0008,0,490.5,1,2
940520,BTC,55560.9,11.74,0,4805.83,60413,60888
940520,ETH,2158.18,0.43,0,0,2377,2474
940520,ADA,1.21675,0.0005,0,0,1,2
940530,BTC,55497.1,0.01,0,0,60413,60888
940530,ETH,2157.6,0.01,0,5036.85,2377,2474
940530,ADA,1.21555,0.0009,0,0,1,2
940540,BTC,55485.6,0.01,0,0,60413,60888
940540,ETH,2157.99,0.01,0,0,2377,2474
940540,ADA,1.2154,0.0002,0,0,1,2
940550,BTC,55244.2,0.01,0,530.5,60413,60888
940550,ETH,2160.43,0.67,0,491,2377,2474
940550,ADA,1.21695,0.0007,0,0,1,2
940560,BTC,55158.8,0.01,0,0,60412,60888
940560,ETH,2158.49,0.28,0,0,2377,2474
940560,ADA,1.2161,0.0008,0,0,1,2
940570,BTC,55200.3,0.01,0,277.67,60412,60888
940570,ETH,2157.34,0.49,0,0,2377,2474
940570,ADA,1.21415,0.0005,0,500,1,2
940580,BTC,55177,0.01,0,0,60412,60888
940580,ETH,2157.66,0.01,0,0,2377,2474
940580,ADA,1.21355,0.0001,0,0,1,2
940590,BTC,55115.6,0.01,0,0,60412,60888
940590,ETH,2159.28,0.01,0,0,2377,2474
940590,ADA,1.21555,0.0007,0,0,1,2
940600,BTC,55098.7,12.29,0,0,60412,60888
940600,ETH,2153.41,0.15,0,0,2377,2474
940600,ADA,1.21425,0.0015,0,0,1,2
940610,BTC,55177.3,0.01,0,999.94,60412,60888
940610,ETH,2151.18,0.01,0,0,2377,2474
940610,ADA,1.21025,0.0001,0,0,1,2
940620,BTC,55135.3,0.01,0,0,60412,60888
940620,ETH,2147.06,0.01,0,0,2377,2474
940620,ADA,1.2093,0.0004,0,0,1,2
940630,BTC,55119.2,0.01,0,0,60412,60888
940630,ETH,2145.02,0.01,0,245.15,2376,2474
940630,ADA,1.20705,0.0013,0,0,1,2
940640,BTC,55173.7,3.14,0,0,60412,60888
940640,ETH,2147.91,0.88,0,0,2376,2474
940640,ADA,1.20665,0.0007,4455.65,0,1,2
940650,BTC,55288.6,0.01,0,0,60412,60888
940650,ETH,2147.91,0.88,0,0,2376,2474
940650,ADA,1.20645,0.0015,0,0,1,2
940660,BTC,55309.3,0.01,0,0,60411,60888
940660,ETH,2146.59,0.88,0,0,2376,2474
940660,ADA,1.20535,0.0001,0,0,1,2
940670,BTC,55375.5,5.76,4987.19,0,60411,60888
940670,ETH,2143.7,0.23,10848.5,497.51,2376,2474
940670,ADA,1.20235,0.0007,0,0,1,2
940680,BTC,55391.8,8.99,0,19120,60408,60888
940680,ETH,2148.52,1.68,0,0,2376,2474
940680,ADA,1.2007,0.001,0,0,1,2
940690,BTC,55318.3,8.44,0,0,60408,60888
940690,ETH,2148.11,0.45,0,0,2376,2474
