tick,symbol,real_mid,real_spread,real_bidDepth,real_askDepth,engine_bestBid,engine_bestAsk
941580,ADA,1.2034,0.0018,0,0,1,2
941590,BTC,55195,0.8,0,586.28,60382,60888
941590,ETH,2145.3,0.01,0,0,2376,2474
941590,ADA,1.2038,0.0008,0,0,1,2
941600,BTC,55215.4,0.01,0,0,60382,60888
941600,ETH,2143.14,0.78,0,0,2376,2474
941600,ADA,1.206,0.0016,0,1987.99,1,2
941610,BTC,55245,5.05,0,0,60382,60888
941610,ETH,2147.26,0.2,0,9.95,2376,2474
941610,ADA,1.20805,0.0009,0,0,1,2
941620,BTC,55188.3,0.01,0,0,60382,60888
941620,ETH,2149.43,0.44,0,0,2376,2474
941620,ADA,1.20905,0.0005,0,0,1,2
941630,BTC,55164,0.01,0,0,60381,60888
941630,ETH,2146.88,0.69,0,0,2376,2474
941630,ADA,1.21065,0.0019,0,0,1,2
941640,BTC,55150.8,9.87,0,74.01,60381,60888
941640,ETH,2149.52,0.48,0,0,2376,2474
941640,ADA,1.20865,0.0019,0,0,1,2
941650,BTC,55178.4,0.01,0,0,60379,60888
941650,ETH,2147.11,0.4,0,0,2376,2474
941650,ADA,1.20805,0.0013,0,96.84,1,2
941660,BTC,55130.1,0.01,0,2299.45,60379,60888
941660,ETH,2145.28,0.01,0,0,2376,2474
941660,ADA,1.2066,0.0014,0,0,1,2
941670,BTC,55124.4,5.16,1340.33,451.86,60379,60888
